ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000096060,FKBP5,2567.11286939017,4.04403198660635,0.369619227528196,10.9410758029298,7.33246105222076e-28,8.45066136268443e-26
ENSG00000100033,PRODH,55.4302257412735,4.8882847571929,0.514444254582462,9.50206890960494,2.0576095038945e-21,1.43479358515265e-19
ENSG00000101342,TLDC2,42.9551623768849,4.08633521075479,0.472773038589347,8.64333385623583,5.45960897185084e-18,2.72095106597107e-16
ENSG00000109906,ZBTB16,385.38949167206,7.35006939693573,0.536783295891296,13.6928057433892,1.12095746794055e-42,2.58380696360297e-40
ENSG00000127324,TSPAN8,26.4335574250609,4.36736801010401,0.614246105424843,7.11012731140285,1.15935960066923e-12,3.31736757460457e-11
ENSG00000127954,STEAP4,286.93513912435,5.20461608172083,0.493428466824927,10.5478634323858,5.19653278038017e-26,5.25863768434081e-24
ENSG00000128045,RASL11B,124.361860555438,4.69969678029233,0.75191040842063,6.25034143384705,4.09556352379458e-10,8.60379395454365e-09
ENSG00000143127,ITGA10,266.145734532424,3.81592432900732,0.446902149371503,8.53861261212061,1.35842964477426e-17,6.36850236855187e-16
ENSG00000152463,OLAH,7.54013639620846,3.93255927231816,0.965247268280466,4.07414701035497,4.61833028638734e-05,0.000401707596608408
ENSG00000152583,SPARCL1,998.337855826789,4.57225331235029,0.183940141726854,24.8572892758774,2.15675171390244e-136,3.5793451443925e-132
ENSG00000152779,SLC16A12,45.7423782439721,4.11615949923965,0.448177849549677,9.18421002594285,4.14558906952806e-20,2.58647354127397e-18
ENSG00000163884,KLF15,561.688060329866,4.45677546806182,0.233494018440774,19.0873217987478,3.21852734900763e-81,3.33841749275816e-78
ENSG00000168309,FAM107A,159.824963434349,4.82985944383357,0.327057077890152,14.7676346740178,2.36881382843398e-49,7.56016044167121e-47
ENSG00000168481,LGI3,21.0314038242132,4.75258435445216,0.791964907719225,6.00100371636301,1.96101501918909e-09,3.83785439368658e-08
ENSG00000170214,ADRA1B,201.807177606388,4.05919336686484,0.488956586270774,8.3017459644504,1.0259239124201e-16,4.5403288668064e-15
ENSG00000171819,ANGPTL7,255.252033827545,5.0792413764019,0.756929561462064,6.71032238005208,1.94194897962508e-11,4.73949783321438e-10
ENSG00000173838,MARCHF10,47.4030731602805,3.89966136061406,0.402933693527346,9.67817142933815,3.7333332660697e-22,2.75370661705301e-20
ENSG00000177575,CD163,10.1075331603919,4.36549379965687,0.932600148117572,4.68099196474341,2.85490130439928e-06,3.2563534053478e-05
ENSG00000179593,ALOX15B,67.299046070002,9.50331914844648,1.05152705131525,9.03763639419422,1.60095888535456e-19,9.55737901487205e-18
ENSG00000249364,LINC02997,8.85115453554911,5.07622020515178,1.13704335522012,4.46440338606886,8.02921685564133e-06,8.40182111829909e-05
